slug,n,median_slop,qs_2026_value,admissions_gate,mlh_member,format,host_kind,devpost_participants
hackgt-12,25,61.7,123.0,no,yes,in_person,university,910
bigred-hacks-2025,9,64.7,16.0,no,yes,in_person,university,173
innovation-hacks-2,35,41.8,173.0,no,yes,in_person,university,347
devfest-2026,7,80.1,38.0,no,yes,in_person,university,562
jumbohack-2026,8,30.3,334.0,no,no,in_person,university,90
hack-brown-2026,12,101.8,69.0,no,yes,in_person,university,217
hacktx2025,22,45.1,68.0,no,yes,in_person,university,728
treehacks-2026,103,52.5,3.0,yes,no,in_person,university,1096
hackduke-code-for-good-2026,9,46.2,62.0,yes,yes,in_person,university,151
la-hacks-2025,9,49.8,46.0,yes,yes,in_person,university,583
bostonhacks-2025,13,32.9,88.0,yes,yes,in_person,university,226
terrahacks-2025,12,57.2,715.5,no,yes,in_person,university,257
boilermake-xii,9,47.6,88.0,yes,yes,in_person,university,380
deltahacks-12,20,61.2,173.0,yes,yes,in_person,university,521
hackpsu-spring-2026,15,64.7,82.0,yes,no,in_person,university,251
nwhacks-2026,29,51.7,40.0,no,yes,in_person,university,631
hacklondon-2026,10,47.4,31.0,no,yes,in_person,university,230
steminate-hacks-2026,26,43.9,,no,no,online,independent,280
interhackbcn,9,71.2,,no,yes,in_person,independent,226
oregonhacks,28,26.8,,no,no,online,independent,212
cs-girlies-wellness-hackathon,31,36.8,,no,no,online,independent,776
devleague-2026,14,42.8,,no,no,in_person,independent,125
vibehack-london-2026,21,26.4,9.0,no,no,in_person,university,149
swamphacks-xi,18,63.3,212.0,no,yes,in_person,university,411
hack-brooklyn-2026,8,21.0,613.0,yes,no,in_person,university,88
civic-hacks,5,83.0,88.0,no,no,in_person,university,174
stem-connect-fall2025,5,60.2,,no,no,online,independent,259
sb-hacks-xii,18,45.0,179.0,yes,yes,in_person,university,341
vibe-coder-hackathon,20,54.5,,no,no,online,independent,179
ellehacks-2026,14,71.0,333.0,yes,yes,in_person,university,305
henhacks-2026,18,53.7,553.0,no,yes,in_person,university,403
hacktech-by-caltech-2026,18,53.3,10.0,no,yes,in_person,university,198
vthacks-13,14,47.8,358.0,no,yes,in_person,university,407
hack-mit-2023,13,62.9,1.0,no,no,in_person,university,1071
ai-hackathon-2026,54,45.9,17.0,no,no,in_person,university,1097
la-hacks-2026,43,38.1,46.0,yes,yes,in_person,university,974
hackillinois-2026,44,56.8,70.0,no,yes,in_person,university,678
hackumass-xiii,21,39.7,247.0,no,yes,in_person,university,580
hackupc-2026,13,41.9,392.0,yes,yes,in_person,university,588
hack-western-12,13,43.7,151.0,yes,yes,in_person,university,283
hackeurope,41,55.0,,yes,no,in_person,independent,759
hackmty2025,22,48.5,187.0,no,yes,in_person,university,821
wildhacks-2026,21,37.9,42.0,no,yes,in_person,university,248
hacknroll2026,41,39.9,8.0,no,no,in_person,university,614
nus-fintech-summit-2026,9,45.0,8.0,no,no,online,university,212
unihack2026,52,35.9,,no,no,online,independent,887
usaii-global-ai-hackathon-2026,239,52.3,,no,no,online,independent,6065
imaginehack2026,7,43.0,253.0,no,no,in_person,university,170
diamondhacks-2026,27,67.9,66.0,no,yes,in_person,university,366
hacklahoma-2026,7,61.2,664.0,no,yes,in_person,university,225
hack-for-humanity-26,20,54.0,,no,no,online,independent,768
hacknyu-2025,9,77.9,55.0,no,yes,in_person,university,642
hackrice-15,19,53.7,119.0,no,yes,in_person,university,299
hackharvard-2025,37,52.7,5.0,no,yes,in_person,university,528
hackprinceton-fall-2025,34,44.3,25.0,no,yes,in_person,university,596
beaverhacks,10,39.5,624.0,no,no,in_person,university,211
uofthacks-13,20,38.9,29.0,no,no,in_person,university,520
hackku26,14,56.8,465.0,no,yes,in_person,university,241
uwb-hacks-the-future,16,51.4,81.0,no,yes,in_person,university,462
hack-arizona-2026,11,57.0,287.0,no,yes,in_person,university,126
hackrpi-2025,12,46.2,695.0,no,yes,in_person,university,233
hack4her-mty,7,55.9,187.0,no,yes,in_person,university,293
hacknc-2025,23,43.7,140.0,no,yes,in_person,university,471
mhacks-2025,14,50.5,45.0,no,yes,in_person,university,380
newhacks-2025,8,59.0,29.0,no,yes,in_person,university,253
