tier,probe_id,apps,pct_of_graded
acute,qa-crash-010,137,8.7
acute,sec-secrets-003,27,1.7
acute,qa-deploy-001,23,1.5
acute,sec-secrets-001,16,1.0
acute,sec-backend-001,16,1.0
acute,qa-reset-001,15,0.9
acute,sec-secrets-002,14,0.9
acute,qa-deadctrl-001,13,0.8
acute,qa-links-001,11,0.7
acute,sec-exposure-003,8,0.5
acute,qa-email-001,7,0.4
acute,sec-exposure-002,7,0.4
acute,sec-xss-002,3,0.2
acute,sec-backend-004,3,0.2
acute,qa-input-002,3,0.2
acute,sec-cors-001,2,0.1
acute,sec-backend-002,2,0.1
acute,sec-exposure-001,2,0.1
acute,sec-deps-001,2,0.1
acute,qa-chunk-001,2,0.1
acute,qa-deploy-003,2,0.1
acute,sec-exposure-005,1,0.1
acute,qa-integrity-002,1,0.1
acute,sec-sqli-004,1,0.1
acute,sec-csrf-001,1,0.1
significant,qa-deadctrl-001,214,13.6
significant,qa-crash-010,137,8.7
significant,qa-links-001,29,1.8
significant,sec-secrets-003,27,1.7
significant,qa-deploy-001,23,1.5
significant,sec-ratelimit-001,18,1.1
significant,qa-deeplink-001,17,1.1
significant,sec-secrets-001,16,1.0
significant,sec-backend-001,16,1.0
significant,qa-reset-001,15,0.9
significant,sec-secrets-002,14,0.9
significant,qa-backnav-001,12,0.8
significant,sec-tls-001,12,0.8
significant,sec-exposure-003,8,0.5
significant,qa-email-001,7,0.4
significant,sec-exposure-002,7,0.4
significant,sec-xss-002,3,0.2
significant,sec-backend-004,3,0.2
significant,qa-input-002,3,0.2
significant,qa-noerror-001,3,0.2
significant,sec-cors-001,2,0.1
significant,sec-debug-001,2,0.1
significant,sec-backend-002,2,0.1
significant,sec-exposure-001,2,0.1
significant,sec-deps-001,2,0.1
significant,qa-chunk-001,2,0.1
significant,qa-deploy-003,2,0.1
significant,qa-errhyg-001,1,0.1
significant,sec-exposure-005,1,0.1
significant,qa-integrity-002,1,0.1
significant,sec-hosthdr-001,1,0.1
significant,sec-sqli-004,1,0.1
significant,sec-csrf-001,1,0.1
